CCD	PDB	Nucleotide	Has_Protein	Category	JSON
1MA	5ZEJ	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/5ZEJ/1MA_5ZEJ.json
1MA	5ZEM	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/5ZEM/1MA_5ZEM.json
1MA	7Q7X	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/7Q7X/1MA_7Q7X.json
1MA	7Q80	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/7Q80/1MA_7Q80.json
1MA	7Q81	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/7Q81/1MA_7Q81.json
1MA	7Q82	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/7Q82/1MA_7Q82.json
1MA	7V9E	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/7V9E/1MA_7V9E.json
1MA	8ZAU	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1MA/8ZAU/1MA_8ZAU.json
1SC	364D	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/1SC/364D/1SC_364D.json
2AT	1Y9F	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2AT/1Y9F/2AT_1Y9F.json
2AU	2NPY	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2AU/2NPY/2AU_2NPY.json
2BT	1WV5	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2BT/1WV5/2BT_1WV5.json
2BT	1WV6	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2BT/1WV6/2BT_1WV6.json
2DA	1MQ2	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/1MQ2/2DA_1MQ2.json
2DA	1R0A	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/1R0A/2DA_1R0A.json
2DA	3GIJ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/3GIJ/2DA_3GIJ.json
2DA	3OS1	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/3OS1/2DA_3OS1.json
2DA	6BEL	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6BEL/2DA_6BEL.json
2DA	6BEM	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6BEM/2DA_6BEM.json
2DA	6CTQ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTQ/2DA_6CTQ.json
2DA	6CTR	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTR/2DA_6CTR.json
2DA	6CTT	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTT/2DA_6CTT.json
2DA	6CTU	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTU/2DA_6CTU.json
2DA	6CTV	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTV/2DA_6CTV.json
2DA	6CTW	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTW/2DA_6CTW.json
2DA	6CTX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DA/6CTX/2DA_6CTX.json
2DT	1XSN	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/1XSN/2DT_1XSN.json
2DT	3GIL	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/3GIL/2DT_3GIL.json
2DT	3HWT	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/3HWT/2DT_3HWT.json
2DT	3RAX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/3RAX/2DT_3RAX.json
2DT	6NKU	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKU/2DT_6NKU.json
2DT	6NKV	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKV/2DT_6NKV.json
2DT	6NKW	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKW/2DT_6NKW.json
2DT	6NKX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKX/2DT_6NKX.json
2DT	6NKY	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKY/2DT_6NKY.json
2DT	6NKZ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NKZ/2DT_6NKZ.json
2DT	6NL0	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2DT/6NL0/2DT_6NL0.json
2GT	1Y9S	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2GT/1Y9S/2GT_1Y9S.json
2MU	1PWF	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2MU/1PWF/2MU_1PWF.json
2NT	1Y7F	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2NT/1Y7F/2NT_1Y7F.json
2OT	1YB9	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/2OT/1YB9/2OT_1YB9.json
3DA	2P7F	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/3DA/2P7F/3DA_2P7F.json
3DA	4G6R	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/3DA/4G6R/3DA_4G6R.json
3ME	1NZG	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/3ME/1NZG/3ME_1NZG.json
4SC	6MHT	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/4SC/6MHT/4SC_6MHT.json
5BU	1F1T	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1F1T/5BU_1F1T.json
5BU	1JID	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1JID/5BU_1JID.json
5BU	1JZV	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1JZV/5BU_1JZV.json
5BU	1KFO	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1KFO/5BU_1KFO.json
5BU	1RLG	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1RLG/5BU_1RLG.json
5BU	1Y3O	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1Y3O/5BU_1Y3O.json
5BU	1Y3S	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1Y3S/5BU_1Y3S.json
5BU	1Y90	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1Y90/5BU_1Y90.json
5BU	1YXP	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1YXP/5BU_1YXP.json
5BU	1ZCI	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/1ZCI/5BU_1ZCI.json
5BU	2AO5	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2AO5/5BU_2AO5.json
5BU	2AZ0	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2AZ0/5BU_2AZ0.json
5BU	2AZ2	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2AZ2/5BU_2AZ2.json
5BU	2FCX	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2FCX/5BU_2FCX.json
5BU	2FCY	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2FCY/5BU_2FCY.json
5BU	2FCZ	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2FCZ/5BU_2FCZ.json
5BU	2FD0	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2FD0/5BU_2FD0.json
5BU	2JLT	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2JLT/5BU_2JLT.json
5BU	2PN3	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2PN3/5BU_2PN3.json
5BU	2PN4	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2PN4/5BU_2PN4.json
5BU	2R1S	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2R1S/5BU_2R1S.json
5BU	2R20	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2R20/5BU_2R20.json
5BU	2R21	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/2R21/5BU_2R21.json
5BU	3BNO	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3BNO/5BU_3BNO.json
5BU	3BNQ	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3BNQ/5BU_3BNQ.json
5BU	3BNR	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3BNR/5BU_3BNR.json
5BU	3BNS	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3BNS/5BU_3BNS.json
5BU	3BNT	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3BNT/5BU_3BNT.json
5BU	3IBK	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3IBK/5BU_3IBK.json
5BU	3LOA	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3LOA/5BU_3LOA.json
5BU	3MEI	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3MEI/5BU_3MEI.json
5BU	3TD0	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3TD0/5BU_3TD0.json
5BU	3TD1	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/3TD1/5BU_3TD1.json
5BU	406D	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/406D/5BU_406D.json
5BU	4P3S	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/4P3S/5BU_4P3S.json
5BU	4P3T	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/4P3T/5BU_4P3T.json
5BU	4P3U	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/4P3U/5BU_4P3U.json
5BU	5XWG	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/5XWG/5BU_5XWG.json
5BU	7EDT	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5BU/7EDT/5BU_7EDT.json
5CG	1M5P	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CG/1M5P/5CG_1M5P.json
5CM	122D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/122D/5CM_122D.json
5CM	123D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/123D/5CM_123D.json
5CM	1D17	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1D17/5CM_1D17.json
5CM	1D40	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1D40/5CM_1D40.json
5CM	1D41	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1D41/5CM_1D41.json
5CM	1F6E	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1F6E/5CM_1F6E.json
5CM	1F6I	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1F6I/5CM_1F6I.json
5CM	1IH3	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1IH3/5CM_1IH3.json
5CM	1IH4	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1IH4/5CM_1IH4.json
5CM	1L6B	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1L6B/5CM_1L6B.json
5CM	1ODG	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1ODG/5CM_1ODG.json
5CM	1R3Z	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1R3Z/5CM_1R3Z.json
5CM	1R41	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1R41/5CM_1R41.json
5CM	1S1L	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1S1L/5CM_1S1L.json
5CM	1VTV	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1VTV/5CM_1VTV.json
5CM	1VTW	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/1VTW/5CM_1VTW.json
5CM	213D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/213D/5CM_213D.json
