CCD,PDB,INF_WC,INF_all,TP_WC,FP_WC,FN_WC,TP_all,FP_all,FN_all,note,af3_path,exp_path
0C,7A9L,0.9258,0.8876,18,0,3,26,0,7,,../MODNAP_AF3_models/0C/7A9L/af_output/0c_7a9l/0c_7a9l_model.cif,../MODNAP/0C/7A9L/0C_7A9L.pdb
0C,7A9N,0.9258,0.9158,18,0,3,26,0,5,,../MODNAP_AF3_models/0C/7A9N/af_output/0c_7a9n/0c_7a9n_model.cif,../MODNAP/0C/7A9N/0C_7A9N.pdb
0C,7A9O,0.9258,0.9309,18,0,3,26,0,4,,../MODNAP_AF3_models/0C/7A9O/af_output/0c_7a9o/0c_7a9o_model.cif,../MODNAP/0C/7A9O/0C_7A9O.pdb
0C,7A9P,0.9258,0.9158,18,0,3,26,0,5,,../MODNAP_AF3_models/0C/7A9P/af_output/0c_7a9p/0c_7a9p_model.cif,../MODNAP/0C/7A9P/0C_7A9P.pdb
0C,7A9Q,0.866,0.8745,18,0,6,26,0,8,,../MODNAP_AF3_models/0C/7A9Q/af_output/0c_7a9q/0c_7a9q_model.cif,../MODNAP/0C/7A9Q/0C_7A9Q.pdb
0C,7A9R,0.866,0.8498,18,0,6,26,0,10,,../MODNAP_AF3_models/0C/7A9R/af_output/0c_7a9r/0c_7a9r_model.cif,../MODNAP/0C/7A9R/0C_7A9R.pdb
0C,7A9S,0.9487,0.9309,18,0,2,26,0,4,,../MODNAP_AF3_models/0C/7A9S/af_output/0c_7a9s/0c_7a9s_model.cif,../MODNAP/0C/7A9S/0C_7A9S.pdb
0C,7A9T,0.9045,0.9014,18,0,4,26,0,6,,../MODNAP_AF3_models/0C/7A9T/af_output/0c_7a9t/0c_7a9t_model.cif,../MODNAP/0C/7A9T/0C_7A9T.pdb
0DT,5VY7,0.0,0.0,0,0,0,0,0,0,,../MODNAP_AF3_models/0DT/5VY7/af_output/0dt_5vy7/0dt_5vy7_model.cif,../MODNAP/0DT/5VY7/0DT_5VY7.pdb
125,1I0G,1.0,1.0,8,0,0,28,0,0,,../MODNAP_AF3_models/125/1I0G/af_output/125_1i0g/125_1i0g_model.cif,../MODNAP/125/1I0G/125_1I0G.pdb
125,1I0M,1.0,0.9655,8,0,0,28,1,1,,../MODNAP_AF3_models/125/1I0M/af_output/125_1i0m/125_1i0m_model.cif,../MODNAP/125/1I0M/125_1I0M.pdb
125,1Y86,1.0,0.9826,8,0,0,28,1,0,,../MODNAP_AF3_models/125/1Y86/af_output/125_1y86/125_1y86_model.cif,../MODNAP/125/1Y86/125_1Y86.pdb
126,1I0K,1.0,0.9475,8,0,0,27,2,1,,../MODNAP_AF3_models/126/1I0K/af_output/126_1i0k/126_1i0k_model.cif,../MODNAP/126/1I0K/126_1I0K.pdb
126,1I0N,1.0,0.9826,8,0,0,28,1,0,,../MODNAP_AF3_models/126/1I0N/af_output/126_1i0n/126_1i0n_model.cif,../MODNAP/126/1I0N/126_1I0N.pdb
126,1I0P,1.0,0.9475,8,0,0,27,2,1,,../MODNAP_AF3_models/126/1I0P/af_output/126_1i0p/126_1i0p_model.cif,../MODNAP/126/1I0P/126_1I0P.pdb
126,1I0Q,1.0,0.9475,8,0,0,27,2,1,,../MODNAP_AF3_models/126/1I0Q/af_output/126_1i0q/126_1i0q_model.cif,../MODNAP/126/1I0Q/126_1I0Q.pdb
126,412D,1.0,0.9655,8,0,0,28,1,1,,../MODNAP_AF3_models/126/412D/af_output/126_412d/126_412d_model.cif,../MODNAP/126/412D/126_412D.pdb
127,1I0F,1.0,1.0,8,0,0,28,0,0,,../MODNAP_AF3_models/127/1I0F/af_output/127_1i0f/127_1i0f_model.cif,../MODNAP/127/1I0F/127_1I0F.pdb
1MA,5ZEG,0.9474,0.9162,45,3,2,82,7,8,,../MODNAP_AF3_models/1MA/5ZEG/af_output/1ma_5zeg/1ma_5zeg_model.cif,../MODNAP/1MA/5ZEG/1MA_5ZEG.pdb
1MA,5ZEI,0.963,0.9222,39,1,2,71,7,5,,../MODNAP_AF3_models/1MA/5ZEI/af_output/1ma_5zei/1ma_5zei_model.cif,../MODNAP/1MA/5ZEI/1MA_5ZEI.pdb
1MA,5ZEJ,0.8201,0.8004,36,11,5,66,19,14,,../MODNAP_AF3_models/1MA/5ZEJ/af_output/1ma_5zej/1ma_5zej_model.cif,../MODNAP/1MA/5ZEJ/1MA_5ZEJ.pdb
1MA,5ZEM,0.8864,0.8537,39,5,5,70,11,13,,../MODNAP_AF3_models/1MA/5ZEM/af_output/1ma_5zem/1ma_5zem_model.cif,../MODNAP/1MA/5ZEM/1MA_5ZEM.pdb
1MA,7Q7X,0.7481,0.6932,49,16,17,115,57,45,,../MODNAP_AF3_models/1MA/7Q7X/af_output/1ma_7q7x/1ma_7q7x_model.cif,../MODNAP/1MA/7Q7X/1MA_7Q7X.pdb
1MA,7Q80,0.6866,0.574,46,22,20,97,73,71,,../MODNAP_AF3_models/1MA/7Q80/af_output/1ma_7q80/1ma_7q80_model.cif,../MODNAP/1MA/7Q80/1MA_7Q80.pdb
1MA,7Q81,0.4276,0.3735,24,26,39,56,89,99,,../MODNAP_AF3_models/1MA/7Q81/af_output/1ma_7q81/1ma_7q81_model.cif,../MODNAP/1MA/7Q81/1MA_7Q81.pdb
1MA,7Q82,0.7481,0.6988,49,17,16,116,51,49,,../MODNAP_AF3_models/1MA/7Q82/af_output/1ma_7q82/1ma_7q82_model.cif,../MODNAP/1MA/7Q82/1MA_7Q82.pdb
1MA,7V9E,0.7726,0.6336,56,18,15,120,85,55,,../MODNAP_AF3_models/1MA/7V9E/af_output/1ma_7v9e/1ma_7v9e_model.cif,../MODNAP/1MA/7V9E/1MA_7V9E.pdb
1MA,8ZAU,0.7684,0.6426,58,19,16,121,76,59,,../MODNAP_AF3_models/1MA/8ZAU/af_output/1ma_8zau/1ma_8zau_model.cif,../MODNAP/1MA/8ZAU/1MA_8ZAU.pdb
1SC,364D,0.9439,0.9426,58,1,6,130,3,13,,../MODNAP_AF3_models/1SC/364D/af_output/1sc_364d/1sc_364d_model.cif,../MODNAP/1SC/364D/1SC_364D.pdb
2AT,1Y9F,1.0,1.0,8,0,0,29,0,0,,../MODNAP_AF3_models/2AT/1Y9F/af_output/2at_1y9f/2at_1y9f_model.cif,../MODNAP/2AT/1Y9F/2AT_1Y9F.pdb
2AU,2NPY,0.9738,0.9674,74,1,3,178,7,5,,../MODNAP_AF3_models/2AU/2NPY/af_output/2au_2npy/2au_2npy_model.cif,../MODNAP/2AU/2NPY/2AU_2NPY.pdb
2BT,1WV5,0.9428,0.9682,8,0,1,30,0,2,,../MODNAP_AF3_models/2BT/1WV5/af_output/2bt_1wv5/2bt_1wv5_model.cif,../MODNAP/2BT/1WV5/2BT_1WV5.pdb
2BT,1WV6,1.0,0.9374,8,0,0,29,0,4,,../MODNAP_AF3_models/2BT/1WV6/af_output/2bt_1wv6/2bt_1wv6_model.cif,../MODNAP/2BT/1WV6/2BT_1WV6.pdb
2DA,1MQ2,1.0,0.9651,30,0,0,83,3,3,,../MODNAP_AF3_models/2DA/1MQ2/af_output/2da_1mq2/2da_1mq2_model.cif,../MODNAP/2DA/1MQ2/2DA_1MQ2.pdb
2DA,1R0A,0.9236,0.9317,42,2,5,122,5,13,,../MODNAP_AF3_models/2DA/1R0A/af_output/2da_1r0a/2da_1r0a_model.cif,../MODNAP/2DA/1R0A/2DA_1R0A.pdb
2DA,3GIJ,0.9428,0.9333,24,0,3,81,0,12,,../MODNAP_AF3_models/2DA/3GIJ/af_output/2da_3gij/2da_3gij_model.cif,../MODNAP/2DA/3GIJ/2DA_3GIJ.pdb
2DA,3OS1,0.8241,0.8441,41,14,4,135,39,12,,../MODNAP_AF3_models/2DA/3OS1/af_output/2da_3os1/2da_3os1_model.cif,../MODNAP/2DA/3OS1/2DA_3OS1.pdb
2DA,6BEL,0.7337,0.8048,22,7,9,70,15,19,,../MODNAP_AF3_models/2DA/6BEL/af_output/2da_6bel/2da_6bel_model.cif,../MODNAP/2DA/6BEL/2DA_6BEL.pdb
2DA,6BEM,1.0,0.9943,31,0,0,87,1,0,,../MODNAP_AF3_models/2DA/6BEM/af_output/2da_6bem/2da_6bem_model.cif,../MODNAP/2DA/6BEM/2DA_6BEM.pdb
2DA,6CTQ,0.7337,0.8048,22,7,9,70,15,19,,../MODNAP_AF3_models/2DA/6CTQ/af_output/2da_6ctq/2da_6ctq_model.cif,../MODNAP/2DA/6CTQ/2DA_6CTQ.pdb
2DA,6CTR,0.7004,0.7631,21,8,10,66,19,22,,../MODNAP_AF3_models/2DA/6CTR/af_output/2da_6ctr/2da_6ctr_model.cif,../MODNAP/2DA/6CTR/2DA_6CTR.pdb
2DA,6CTT,0.7004,0.7516,21,8,10,65,20,23,,../MODNAP_AF3_models/2DA/6CTT/af_output/2da_6ctt/2da_6ctt_model.cif,../MODNAP/2DA/6CTT/2DA_6CTT.pdb
2DA,6CTU,1.0,0.9886,31,0,0,87,1,1,,../MODNAP_AF3_models/2DA/6CTU/af_output/2da_6ctu/2da_6ctu_model.cif,../MODNAP/2DA/6CTU/2DA_6CTU.pdb
2DA,6CTV,0.9843,0.9888,31,0,1,88,0,2,,../MODNAP_AF3_models/2DA/6CTV/af_output/2da_6ctv/2da_6ctv_model.cif,../MODNAP/2DA/6CTV/2DA_6CTV.pdb
2DA,6CTW,1.0,0.9886,31,0,0,87,1,1,,../MODNAP_AF3_models/2DA/6CTW/af_output/2da_6ctw/2da_6ctw_model.cif,../MODNAP/2DA/6CTW/2DA_6CTW.pdb
2DA,6CTX,0.7337,0.7978,22,7,9,69,16,19,,../MODNAP_AF3_models/2DA/6CTX/af_output/2da_6ctx/2da_6ctx_model.cif,../MODNAP/2DA/6CTX/2DA_6CTX.pdb
2DT,1XSN,1.0,0.9691,22,0,0,47,2,1,,../MODNAP_AF3_models/2DT/1XSN/af_output/2dt_1xsn/2dt_1xsn_model.cif,../MODNAP/2DT/1XSN/2DT_1XSN.pdb
2DT,3GIL,0.9789,0.9448,23,1,0,77,4,5,,../MODNAP_AF3_models/2DT/3GIL/af_output/2dt_3gil/2dt_3gil_model.cif,../MODNAP/2DT/3GIL/2DT_3GIL.pdb
2DT,3HWT,1.0,0.9709,22,0,0,50,2,1,,../MODNAP_AF3_models/2DT/3HWT/af_output/2dt_3hwt/2dt_3hwt_model.cif,../MODNAP/2DT/3HWT/2DT_3HWT.pdb
2DT,3RAX,0.9592,0.9334,23,2,0,77,6,5,,../MODNAP_AF3_models/2DT/3RAX/af_output/2dt_3rax/2dt_3rax_model.cif,../MODNAP/2DT/3RAX/2DT_3RAX.pdb
2DT,6NKU,0.822,0.8711,23,4,6,74,8,14,,../MODNAP_AF3_models/2DT/6NKU/af_output/2dt_6nku/2dt_6nku_model.cif,../MODNAP/2DT/6NKU/2DT_6NKU.pdb
2DT,6NKV,0.822,0.8643,23,4,6,73,9,14,,../MODNAP_AF3_models/2DT/6NKV/af_output/2dt_6nkv/2dt_6nkv_model.cif,../MODNAP/2DT/6NKV/2DT_6NKV.pdb
2DT,6NKW,0.822,0.8662,23,4,6,74,8,15,,../MODNAP_AF3_models/2DT/6NKW/af_output/2dt_6nkw/2dt_6nkw_model.cif,../MODNAP/2DT/6NKW/2DT_6NKW.pdb
2DT,6NKX,0.822,0.8711,23,4,6,74,8,14,,../MODNAP_AF3_models/2DT/6NKX/af_output/2dt_6nkx/2dt_6nkx_model.cif,../MODNAP/2DT/6NKX/2DT_6NKX.pdb
2DT,6NKY,0.822,0.8711,23,4,6,74,8,14,,../MODNAP_AF3_models/2DT/6NKY/af_output/2dt_6nky/2dt_6nky_model.cif,../MODNAP/2DT/6NKY/2DT_6NKY.pdb
2DT,6NKZ,0.822,0.8711,23,4,6,74,8,14,,../MODNAP_AF3_models/2DT/6NKZ/af_output/2dt_6nkz/2dt_6nkz_model.cif,../MODNAP/2DT/6NKZ/2DT_6NKZ.pdb
2DT,6NL0,0.822,0.8662,23,4,6,74,8,15,,../MODNAP_AF3_models/2DT/6NL0/af_output/2dt_6nl0/2dt_6nl0_model.cif,../MODNAP/2DT/6NL0/2DT_6NL0.pdb
2GT,1Y9S,1.0,0.9475,8,0,0,27,2,1,,../MODNAP_AF3_models/2GT/1Y9S/af_output/2gt_1y9s/2gt_1y9s_model.cif,../MODNAP/2GT/1Y9S/2GT_1Y9S.pdb
2MU,1PWF,1.0,1.0,6,0,0,20,0,0,,../MODNAP_AF3_models/2MU/1PWF/af_output/2mu_1pwf/2mu_1pwf_model.cif,../MODNAP/2MU/1PWF/2MU_1PWF.pdb
2NT,1Y7F,1.0,0.9826,8,0,0,28,1,0,,../MODNAP_AF3_models/2NT/1Y7F/af_output/2nt_1y7f/2nt_1y7f_model.cif,../MODNAP/2NT/1Y7F/2NT_1Y7F.pdb
2OT,1YB9,1.0,0.9826,8,0,0,28,0,1,,../MODNAP_AF3_models/2OT/1YB9/af_output/2ot_1yb9/2ot_1yb9_model.cif,../MODNAP/2OT/1YB9/2OT_1YB9.pdb
3DA,2P7F,0.9738,0.9756,74,1,3,180,3,6,,../MODNAP_AF3_models/3DA/2P7F/af_output/3da_2p7f/3da_2p7f_model.cif,../MODNAP/3DA/2P7F/3DA_2P7F.pdb
3DA,4G6R,0.9733,0.978,72,0,4,177,1,7,,../MODNAP_AF3_models/3DA/4G6R/af_output/3da_4g6r/3da_4g6r_model.cif,../MODNAP/3DA/4G6R/3DA_4G6R.pdb
3ME,1NZG,1.0,0.9826,8,0,0,28,1,0,,../MODNAP_AF3_models/3ME/1NZG/af_output/3me_1nzg/3me_1nzg_model.cif,../MODNAP/3ME/1NZG/3ME_1NZG.pdb
4SC,6MHT,1.0,0.9594,21,0,0,59,3,2,,../MODNAP_AF3_models/4SC/6MHT/af_output/4sc_6mht/4sc_6mht_model.cif,../MODNAP/4SC/6MHT/4SC_6MHT.pdb
5BU,1F1T,0.9789,0.956,23,0,1,76,3,4,,../MODNAP_AF3_models/5BU/1F1T/af_output/5bu_1f1t/5bu_1f1t_model.cif,../MODNAP/5BU/1F1T/5BU_1F1T.pdb
5BU,1JID,1.0,1.0,20,0,0,46,0,0,,../MODNAP_AF3_models/5BU/1JID/af_output/5bu_1jid/5bu_1jid_model.cif,../MODNAP/5BU/1JID/5BU_1JID.pdb
5BU,1JZV,0.9718,0.9091,17,1,0,20,2,2,,../MODNAP_AF3_models/5BU/1JZV/af_output/5bu_1jzv/5bu_1jzv_model.cif,../MODNAP/5BU/1JZV/5BU_1JZV.pdb
5BU,1KFO,0.9574,0.9499,22,0,2,66,2,5,,../MODNAP_AF3_models/5BU/1KFO/af_output/5bu_1kfo/5bu_1kfo_model.cif,../MODNAP/5BU/1KFO/5BU_1KFO.pdb
5BU,1RLG,1.0,0.9893,17,0,0,46,1,0,,../MODNAP_AF3_models/5BU/1RLG/af_output/5bu_1rlg/5bu_1rlg_model.cif,../MODNAP/5BU/1RLG/5BU_1RLG.pdb
5BU,1Y3O,0.9276,0.9271,32,3,2,89,8,6,,../MODNAP_AF3_models/5BU/1Y3O/af_output/5bu_1y3o/5bu_1y3o_model.cif,../MODNAP/5BU/1Y3O/5BU_1Y3O.pdb
5BU,1Y3S,0.9416,0.953,32,3,1,91,3,6,,../MODNAP_AF3_models/5BU/1Y3S/af_output/5bu_1y3s/5bu_1y3s_model.cif,../MODNAP/5BU/1Y3S/5BU_1Y3S.pdb
5BU,1Y90,0.9722,0.9608,35,1,1,97,1,7,,../MODNAP_AF3_models/5BU/1Y90/af_output/5bu_1y90/5bu_1y90_model.cif,../MODNAP/5BU/1Y90/5BU_1Y90.pdb
5BU,1YXP,0.9429,0.918,33,2,2,89,5,11,,../MODNAP_AF3_models/5BU/1YXP/af_output/5bu_1yxp/5bu_1yxp_model.cif,../MODNAP/5BU/1YXP/5BU_1YXP.pdb
5BU,1ZCI,0.9091,0.9065,30,3,3,86,14,4,,../MODNAP_AF3_models/5BU/1ZCI/af_output/5bu_1zci/5bu_1zci_model.cif,../MODNAP/5BU/1ZCI/5BU_1ZCI.pdb
5BU,2AO5,0.9333,0.9104,14,1,1,25,1,4,,../MODNAP_AF3_models/5BU/2AO5/af_output/5bu_2ao5/5bu_2ao5_model.cif,../MODNAP/5BU/2AO5/5BU_2AO5.pdb
5BU,2AZ0,1.0,0.9567,18,0,0,44,1,3,,../MODNAP_AF3_models/5BU/2AZ0/af_output/5bu_2az0/5bu_2az0_model.cif,../MODNAP/5BU/2AZ0/5BU_2AZ0.pdb
5BU,2AZ2,0.9733,0.9393,18,0,1,45,0,6,,../MODNAP_AF3_models/5BU/2AZ2/af_output/5bu_2az2/5bu_2az2_model.cif,../MODNAP/5BU/2AZ2/5BU_2AZ2.pdb
5BU,2FCX,0.9444,0.9072,34,2,2,82,4,13,,../MODNAP_AF3_models/5BU/2FCX/af_output/5bu_2fcx/5bu_2fcx_model.cif,../MODNAP/5BU/2FCX/5BU_2FCX.pdb
5BU,2FCY,0.9714,0.924,34,1,1,85,8,6,,../MODNAP_AF3_models/5BU/2FCY/af_output/5bu_2fcy/5bu_2fcy_model.cif,../MODNAP/5BU/2FCY/5BU_2FCY.pdb
5BU,2FCZ,0.7559,0.8018,12,6,2,30,10,5,,../MODNAP_AF3_models/5BU/2FCZ/af_output/5bu_2fcz/5bu_2fcz_model.cif,../MODNAP/5BU/2FCZ/5BU_2FCZ.pdb
5BU,2FD0,0.9714,0.9433,34,1,1,91,3,8,,../MODNAP_AF3_models/5BU/2FD0/af_output/5bu_2fd0/5bu_2fd0_model.cif,../MODNAP/5BU/2FD0/5BU_2FD0.pdb
5BU,2JLT,0.9463,0.9595,35,3,1,71,4,2,,../MODNAP_AF3_models/5BU/2JLT/af_output/5bu_2jlt/5bu_2jlt_model.cif,../MODNAP/5BU/2JLT/5BU_2JLT.pdb
5BU,2PN3,0.9661,0.9728,42,3,0,89,4,1,,../MODNAP_AF3_models/5BU/2PN3/af_output/5bu_2pn3/5bu_2pn3_model.cif,../MODNAP/5BU/2PN3/5BU_2PN3.pdb
5BU,2PN4,0.9789,0.9736,46,2,0,92,2,3,,../MODNAP_AF3_models/5BU/2PN4/af_output/5bu_2pn4/5bu_2pn4_model.cif,../MODNAP/5BU/2PN4/5BU_2PN4.pdb
5BU,2R1S,1.0,0.9874,17,0,0,39,0,1,,../MODNAP_AF3_models/5BU/2R1S/af_output/5bu_2r1s/5bu_2r1s_model.cif,../MODNAP/5BU/2R1S/5BU_2R1S.pdb
5BU,2R20,1.0,0.9874,17,0,0,39,0,1,,../MODNAP_AF3_models/5BU/2R20/af_output/5bu_2r20/5bu_2r20_model.cif,../MODNAP/5BU/2R20/5BU_2R20.pdb
5BU,2R21,0.9444,0.9503,17,1,1,38,1,3,,../MODNAP_AF3_models/5BU/2R21/af_output/5bu_2r21/5bu_2r21_model.cif,../MODNAP/5BU/2R21/5BU_2R21.pdb
5BU,3BNO,1.0,0.9701,32,0,0,81,3,2,,../MODNAP_AF3_models/5BU/3BNO/af_output/5bu_3bno/5bu_3bno_model.cif,../MODNAP/5BU/3BNO/5BU_3BNO.pdb
5BU,3BNQ,0.8156,0.8207,30,3,11,75,12,21,,../MODNAP_AF3_models/5BU/3BNQ/af_output/5bu_3bnq/5bu_3bnq_model.cif,../MODNAP/5BU/3BNQ/5BU_3BNQ.pdb
5BU,3BNR,0.9022,0.8515,32,2,5,77,10,17,,../MODNAP_AF3_models/5BU/3BNR/af_output/5bu_3bnr/5bu_3bnr_model.cif,../MODNAP/5BU/3BNR/5BU_3BNR.pdb
5BU,3BNS,0.9334,0.8712,35,2,3,81,10,14,,../MODNAP_AF3_models/5BU/3BNS/af_output/5bu_3bns/5bu_3bns_model.cif,../MODNAP/5BU/3BNS/5BU_3BNS.pdb
5BU,3BNT,1.0,1.0,36,0,0,97,0,0,,../MODNAP_AF3_models/5BU/3BNT/af_output/5bu_3bnt/5bu_3bnt_model.cif,../MODNAP/5BU/3BNT/5BU_3BNT.pdb
5BU,3IBK,0.8391,0.8853,13,3,2,50,8,5,,../MODNAP_AF3_models/5BU/3IBK/af_output/5bu_3ibk/5bu_3ibk_model.cif,../MODNAP/5BU/3IBK/5BU_3IBK.pdb
5BU,3LOA,0.9648,0.9843,41,1,2,94,1,2,,../MODNAP_AF3_models/5BU/3LOA/af_output/5bu_3loa/5bu_3loa_model.cif,../MODNAP/5BU/3LOA/5BU_3LOA.pdb
5BU,3MEI,0.8687,0.8238,43,6,7,77,14,19,,../MODNAP_AF3_models/5BU/3MEI/af_output/5bu_3mei/5bu_3mei_model.cif,../MODNAP/5BU/3MEI/5BU_3MEI.pdb
5BU,3TD0,0.9627,0.9501,38,3,0,76,3,5,,../MODNAP_AF3_models/5BU/3TD0/af_output/5bu_3td0/5bu_3td0_model.cif,../MODNAP/5BU/3TD0/5BU_3TD0.pdb
5BU,3TD1,0.8932,0.9035,37,2,7,69,3,12,,../MODNAP_AF3_models/5BU/3TD1/af_output/5bu_3td1/5bu_3td1_model.cif,../MODNAP/5BU/3TD1/5BU_3TD1.pdb
5BU,406D,0.986,0.9915,35,1,0,58,1,0,,../MODNAP_AF3_models/5BU/406D/af_output/5bu_406d/5bu_406d_model.cif,../MODNAP/5BU/406D/5BU_406D.pdb
5BU,4P3S,1.0,0.9719,38,0,0,69,1,3,,../MODNAP_AF3_models/5BU/4P3S/af_output/5bu_4p3s/5bu_4p3s_model.cif,../MODNAP/5BU/4P3S/5BU_4P3S.pdb
5BU,4P3T,0.9426,0.8605,41,3,2,74,13,11,,../MODNAP_AF3_models/5BU/4P3T/af_output/5bu_4p3t/5bu_4p3t_model.cif,../MODNAP/5BU/4P3T/5BU_4P3T.pdb
5BU,4P3U,0.9113,0.8896,41,3,5,76,6,13,,../MODNAP_AF3_models/5BU/4P3U/af_output/5bu_4p3u/5bu_4p3u_model.cif,../MODNAP/5BU/4P3U/5BU_4P3U.pdb
5BU,5XWG,1.0,0.9168,16,0,0,55,4,6,,../MODNAP_AF3_models/5BU/5XWG/af_output/5bu_5xwg/5bu_5xwg_model.cif,../MODNAP/5BU/5XWG/5BU_5XWG.pdb
5BU,7EDT,0.9139,0.8879,21,1,3,35,2,7,,../MODNAP_AF3_models/5BU/7EDT/af_output/5bu_7edt/5bu_7edt_model.cif,../MODNAP/5BU/7EDT/5BU_7EDT.pdb
5CG,1M5P,0.9673,0.9591,133,3,6,305,11,15,,../MODNAP_AF3_models/5CG/1M5P/af_output/5cg_1m5p/5cg_1m5p_model.cif,../MODNAP/5CG/1M5P/5CG_1M5P.pdb
5CM,122D,1.0,0.9373,20,0,0,52,5,2,,../MODNAP_AF3_models/5CM/122D/af_output/5cm_122d/5cm_122d_model.cif,../MODNAP/5CM/122D/5CM_122D.pdb
5CM,123D,1.0,0.9466,20,0,0,53,4,2,,../MODNAP_AF3_models/5CM/123D/af_output/5cm_123d/5cm_123d_model.cif,../MODNAP/5CM/123D/5CM_123D.pdb
5CM,1D17,1.0,0.7348,2,0,0,9,1,6,,../MODNAP_AF3_models/5CM/1D17/af_output/5cm_1d17/5cm_1d17_model.cif,../MODNAP/5CM/1D17/5CM_1D17.pdb
5CM,1D40,0.0,0.8452,0,0,0,5,0,2,,../MODNAP_AF3_models/5CM/1D40/af_output/5cm_1d40/5cm_1d40_model.cif,../MODNAP/5CM/1D40/5CM_1D40.pdb
5CM,1D41,0.0,1.0,0,0,0,7,0,0,,../MODNAP_AF3_models/5CM/1D41/af_output/5cm_1d41/5cm_1d41_model.cif,../MODNAP/5CM/1D41/5CM_1D41.pdb
5CM,1F6E,0.9129,0.866,10,2,0,15,5,0,,../MODNAP_AF3_models/5CM/1F6E/af_output/5cm_1f6e/5cm_1f6e_model.cif,../MODNAP/5CM/1F6E/5CM_1F6E.pdb
5CM,1F6I,1.0,0.9636,10,0,0,13,0,1,,../MODNAP_AF3_models/5CM/1F6I/af_output/5cm_1f6i/5cm_1f6i_model.cif,../MODNAP/5CM/1F6I/5CM_1F6I.pdb
5CM,1IH3,1.0,1.0,6,0,0,8,0,0,,../MODNAP_AF3_models/5CM/1IH3/af_output/5cm_1ih3/5cm_1ih3_model.cif,../MODNAP/5CM/1IH3/5CM_1IH3.pdb
